                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.9905,                 4.5847,                 2.4907,                0.11525,                0.23016,                0.11927,                0.05717,                 1.5311,                 4.5199,                 2.2117,                 0.0901,                 0.0011,                 0.0011
                      1,                 1.4869,                  2.665,                 2.0743,                0.62367,                0.60771,                0.52982,                0.31112,                 1.2342,                  2.807,                 2.2294,               0.079284,              0.0022844,              0.0022844
                      2,                 1.2059,                 1.7553,                 1.8285,                0.40542,                 0.6455,                0.60957,                0.31503,                 1.5978,                 2.0171,                 2.4355,               0.068453,              0.0034525,              0.0034525
                      3,                 1.2254,                 1.5648,                 1.8218,                0.59341,                0.56349,                0.64149,                0.39931,                 1.3483,                 1.6945,                 2.1212,               0.057604,              0.0046044,              0.0046044
                      4,                 1.0259,                 1.1992,                 1.6644,                0.59784,                 0.7185,                0.74977,                0.41568,                 1.6372,                 1.6461,                 2.5003,                0.04674,                0.00574,                0.00574
                      5,                0.96484,                 1.0539,                 1.5856,                0.89574,                0.94441,                 0.9866,                0.72316,                 1.0506,                0.90862,                 2.0083,               0.035859,              0.0068593,              0.0068593
                      6,                0.93794,                 1.0995,                 1.6133,                0.85527,                0.93386,                0.97176,                0.66703,                 1.1129,                   1.53,                 1.9557,               0.024962,              0.0079623,              0.0079623
                      7,                0.95739,                 1.1226,                 1.6037,                0.66262,                0.92314,                0.96867,                 0.5885,                 1.2643,                 1.2675,                 2.1607,               0.014049,              0.0090491,              0.0090491
                      8,                0.98557,                 1.1102,                 1.6511,                0.73142,                0.81221,                 0.9462,                0.56553,                 1.2096,                   2.44,                 2.1613,              0.0094575,              0.0094575,              0.0094575
                      9,                 1.0221,                 0.9979,                 1.6115,                0.81977,                0.91704,                0.94952,                0.69791,                0.98908,                 1.7052,                 1.9442,              0.0094575,              0.0094575,              0.0094575
                     10,                 0.9768,                0.91622,                 1.6042,                0.68152,                0.84993,                0.88698,                0.62124,                 1.2559,                 1.4736,                 2.2385,              0.0093897,              0.0093897,              0.0093897
                     11,                0.96225,                0.92155,                 1.5808,                0.74553,                0.79635,                0.83979,                0.56717,                 1.2872,                 2.2668,                 2.1586,              0.0093219,              0.0093219,              0.0093219
                     12,                0.83418,                0.71687,                 1.4771,                0.67355,                0.44006,                0.57603,                0.36755,                 1.4251,                 3.0274,                 2.1953,              0.0092541,              0.0092541,              0.0092541
                     13,                0.95484,                0.84435,                 1.5781,                0.67742,                0.41899,                0.35603,                0.21965,                 1.4823,                 5.5682,                  2.428,              0.0091863,              0.0091863,              0.0091863
                     14,                0.93621,                0.82939,                 1.5799,                0.47254,                0.59524,                0.57231,                0.31631,                 1.4523,                 3.1771,                 2.2575,              0.0091185,              0.0091185,              0.0091185
