               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,              0.1071,            0.021605,            0.053944,          0.00034755,             0.15724,          0.00034379,          0.00012448,            0.066807,              0.0101,            0.034949,            0.070732,            0.003252,            0.003252
                   1,            0.098148,            0.022608,            0.053473,          0.00042321,             0.16365,          0.00082295,          0.00023052,            0.063604,            0.010506,            0.034845,            0.040706,           0.0065593,           0.0065593
                   2,            0.090468,            0.023432,            0.052986,           0.0057145,            0.071001,           0.0026549,          0.00061441,            0.067084,             0.02385,             0.15231,            0.010653,           0.0098401,           0.0098401
                   3,            0.083466,            0.024276,            0.051188,            0.021195,            0.070208,            0.017577,           0.0050981,                 nan,                 nan,             0.14336,           0.0098812,           0.0098812,           0.0098812
                   4,            0.077119,            0.024946,            0.050824,             0.51516,            0.063797,            0.010966,           0.0045735,                 nan,                 nan,            0.092151,           0.0098812,           0.0098812,           0.0098812
                   5,            0.074563,            0.025137,            0.049704,             0.53957,            0.063797,            0.029494,           0.0082005,                 nan,                 nan,            0.076642,           0.0098416,           0.0098416,           0.0098416
                   6,            0.072921,            0.024124,             0.04827,             0.69333,            0.095318,            0.033336,            0.010039,            0.062904,            0.012449,            0.066748,            0.009802,            0.009802,            0.009802
                   7,            0.071263,            0.024174,            0.047703,           0.0051134,             0.54214,             0.05971,            0.010852,            0.050343,            0.013749,            0.033398,           0.0097624,           0.0097624,           0.0097624
                   8,            0.069405,            0.024442,            0.048541,             0.21063,              0.2048,            0.036638,           0.0088254,            0.047269,            0.012635,             0.03212,           0.0097228,           0.0097228,           0.0097228
                   9,            0.069429,            0.023467,            0.047558,             0.21073,            0.046886,            0.034898,           0.0071359,            0.049189,            0.013327,            0.031418,           0.0096832,           0.0096832,           0.0096832
                  10,            0.065646,            0.024538,            0.047368,             0.24722,             0.14426,            0.053419,            0.012958,            0.047138,            0.013762,            0.031119,           0.0096436,           0.0096436,           0.0096436
                  11,            0.065351,            0.023482,            0.046451,            0.045482,             0.10733,            0.031536,           0.0082584,            0.046952,            0.011389,            0.030252,            0.009604,            0.009604,            0.009604
                  12,            0.066243,            0.024168,            0.046259,             0.23394,             0.11606,            0.053879,            0.013882,            0.046787,            0.011266,            0.029999,           0.0095644,           0.0095644,           0.0095644
                  13,            0.064775,            0.023674,            0.046046,             0.24222,             0.25385,            0.073906,             0.01869,            0.045946,            0.010557,             0.02926,           0.0095248,           0.0095248,           0.0095248
                  14,            0.063711,            0.023895,            0.047251,             0.24084,             0.20064,            0.059783,            0.012593,            0.047238,             0.01589,            0.031662,           0.0094852,           0.0094852,           0.0094852
                  15,            0.064239,            0.024527,            0.045248,             0.23306,             0.19878,            0.066562,            0.018144,            0.047249,            0.011339,            0.028406,           0.0094456,           0.0094456,           0.0094456
                  16,            0.062063,            0.023795,            0.045561,             0.40513,             0.17764,             0.13434,            0.043824,            0.044951,            0.010699,            0.029651,            0.009406,            0.009406,            0.009406
                  17,            0.061322,            0.024327,            0.045626,             0.31407,             0.27204,             0.11648,            0.035031,            0.044871,            0.012585,            0.029886,           0.0093664,           0.0093664,           0.0093664
                  18,            0.060403,             0.02368,            0.045783,              0.3086,             0.30161,              0.1621,            0.036093,            0.039157,            0.015425,            0.029044,           0.0093268,           0.0093268,           0.0093268
                  19,            0.056835,            0.023211,             0.04518,             0.30624,             0.31707,             0.18108,            0.066525,            0.038781,            0.011022,            0.027057,           0.0092872,           0.0092872,           0.0092872
                  20,            0.055695,            0.023668,            0.044081,             0.29842,               0.294,             0.15069,            0.060293,            0.039502,            0.011637,            0.026959,           0.0092476,           0.0092476,           0.0092476
                  21,            0.055992,            0.023807,            0.044839,             0.32074,             0.30394,             0.14219,            0.051469,            0.040595,            0.011991,            0.028201,            0.009208,            0.009208,            0.009208
                  22,            0.055368,            0.023868,            0.044715,             0.13768,             0.23645,             0.14565,            0.051507,            0.040316,            0.012508,            0.027594,           0.0091684,           0.0091684,           0.0091684
                  23,            0.057072,             0.02294,            0.044425,             0.30961,             0.31508,             0.17549,            0.061731,            0.039295,            0.011458,            0.028171,           0.0091288,           0.0091288,           0.0091288
                  24,            0.054133,            0.023151,            0.044878,             0.34044,             0.24103,             0.11618,            0.041651,            0.043339,            0.013956,            0.029251,           0.0090892,           0.0090892,           0.0090892
                  25,            0.054099,            0.023188,            0.044572,             0.12152,             0.30667,             0.10832,             0.03344,            0.046176,            0.014352,            0.038846,           0.0090496,           0.0090496,           0.0090496
                  26,            0.051469,            0.022878,            0.044063,             0.30658,             0.13193,             0.13059,            0.033356,            0.043053,           0.0098991,             0.02684,             0.00901,             0.00901,             0.00901
                  27,            0.054446,            0.022906,            0.042978,             0.32034,             0.30499,             0.18518,            0.077559,            0.038454,            0.012132,            0.029617,           0.0089704,           0.0089704,           0.0089704
                  28,            0.051364,            0.023456,            0.042838,             0.36411,             0.19904,             0.17093,            0.065246,            0.039125,            0.012648,            0.030063,           0.0089308,           0.0089308,           0.0089308
                  29,             0.05286,            0.023329,            0.043515,             0.34497,             0.30073,             0.15334,            0.053248,            0.042417,            0.013334,            0.028568,           0.0088912,           0.0088912,           0.0088912
                  30,            0.054636,            0.022003,            0.043156,             0.41352,             0.20655,             0.13875,            0.055822,            0.043987,            0.023171,            0.033148,           0.0088516,           0.0088516,           0.0088516
                  31,            0.051931,            0.022783,            0.043459,              0.4115,             0.35977,             0.23842,            0.092971,            0.038262,            0.010442,            0.026233,            0.008812,            0.008812,            0.008812
                  32,            0.051398,            0.022677,            0.041611,             0.64029,             0.21087,             0.27085,            0.099871,            0.036833,            0.010341,            0.024063,           0.0087724,           0.0087724,           0.0087724
                  33,            0.049664,            0.022474,             0.04185,             0.34055,              0.3593,             0.27261,             0.12119,            0.035446,            0.010541,            0.023834,           0.0087328,           0.0087328,           0.0087328
                  34,            0.051265,            0.022418,            0.043313,             0.32129,             0.30246,             0.19644,            0.068144,            0.039823,            0.012826,            0.027264,           0.0086932,           0.0086932,           0.0086932
                  35,             0.04879,            0.021962,            0.043402,             0.12595,             0.20808,             0.10026,            0.048632,            0.055711,            0.022272,            0.044397,           0.0086536,           0.0086536,           0.0086536
                  36,            0.049869,            0.021891,            0.042072,              0.2736,             0.13741,             0.14897,            0.061707,            0.042932,             0.01159,            0.028134,            0.008614,            0.008614,            0.008614
                  37,            0.049239,            0.021638,            0.041753,             0.14315,             0.28077,             0.19845,             0.10182,            0.037373,            0.012818,            0.025623,           0.0085744,           0.0085744,           0.0085744
                  38,            0.049656,            0.022474,            0.041065,             0.34294,              0.2557,             0.10645,            0.045747,            0.041929,            0.018481,            0.028864,           0.0085348,           0.0085348,           0.0085348
                  39,            0.047397,            0.021969,            0.041303,             0.52183,             0.23958,             0.21388,            0.090606,            0.035963,            0.012674,            0.026337,           0.0084952,           0.0084952,           0.0084952
                  40,            0.047187,            0.021378,            0.041649,             0.34662,             0.21185,             0.17145,            0.083006,            0.039286,            0.011873,            0.027328,           0.0084556,           0.0084556,           0.0084556
                  41,            0.048116,            0.021295,            0.041164,             0.20074,             0.29328,             0.12723,             0.04221,            0.042873,            0.016896,            0.032437,            0.008416,            0.008416,            0.008416
                  42,            0.047145,            0.020996,            0.040484,             0.31514,             0.28712,             0.16107,            0.067131,            0.039126,            0.016189,            0.027069,           0.0083764,           0.0083764,           0.0083764
                  43,            0.045829,            0.021638,            0.040089,             0.52733,             0.46988,             0.41844,             0.18308,            0.032297,           0.0099168,            0.022356,           0.0083368,           0.0083368,           0.0083368
                  44,             0.04732,            0.021301,            0.039865,              0.3252,             0.41927,             0.36365,             0.13927,            0.035775,            0.012606,            0.022018,           0.0082972,           0.0082972,           0.0082972
                  45,            0.045216,            0.021108,            0.039228,             0.32707,             0.36082,             0.31121,             0.12278,            0.037304,            0.011524,            0.023969,           0.0082576,           0.0082576,           0.0082576
                  46,            0.046908,            0.021139,            0.038387,             0.48287,             0.40985,             0.36752,             0.16275,            0.033213,            0.010247,            0.022913,            0.008218,            0.008218,            0.008218
                  47,            0.044975,            0.020874,            0.037881,              0.4788,             0.33026,             0.23183,            0.098324,             0.03627,            0.014859,            0.023917,           0.0081784,           0.0081784,           0.0081784
                  48,            0.043037,            0.020636,            0.038172,             0.33432,              0.4752,             0.34473,             0.17006,            0.035117,            0.012037,            0.023117,           0.0081388,           0.0081388,           0.0081388
                  49,             0.04522,            0.021076,            0.039408,             0.23637,             0.24605,             0.13547,            0.060683,            0.041052,            0.016099,            0.026563,           0.0080992,           0.0080992,           0.0080992
                  50,            0.044552,            0.019609,            0.038528,             0.48104,             0.50274,             0.39524,             0.19283,            0.032461,            0.009317,            0.021657,           0.0080596,           0.0080596,           0.0080596
                  51,            0.044839,            0.019745,            0.038446,             0.26942,             0.39322,             0.33534,             0.16355,            0.033419,            0.011863,             0.02269,             0.00802,             0.00802,             0.00802
                  52,            0.046036,            0.020529,            0.038048,             0.48163,             0.51323,             0.43327,              0.2378,            0.031554,           0.0097175,            0.022104,           0.0079804,           0.0079804,           0.0079804
                  53,            0.042972,            0.020263,            0.036921,               0.328,             0.40052,             0.24692,             0.10151,            0.034088,            0.014676,            0.026334,           0.0079408,           0.0079408,           0.0079408
                  54,            0.042746,            0.020088,            0.038336,             0.40193,             0.46986,             0.37031,              0.2157,            0.035166,            0.012124,            0.025656,           0.0079012,           0.0079012,           0.0079012
                  55,            0.042692,            0.020913,            0.037904,             0.40691,             0.28906,             0.20832,            0.090894,            0.039801,            0.014766,            0.032938,           0.0078616,           0.0078616,           0.0078616
                  56,            0.043024,            0.019958,            0.037797,             0.40771,             0.34666,             0.33858,             0.13049,            0.034149,            0.012223,            0.024976,            0.007822,            0.007822,            0.007822
                  57,            0.042158,            0.019904,            0.036555,              0.4038,             0.54359,             0.44573,             0.22819,            0.029334,           0.0096826,            0.022253,           0.0077824,           0.0077824,           0.0077824
                  58,            0.041864,            0.019553,            0.039059,             0.47381,             0.43779,             0.44203,             0.20564,            0.030793,            0.010571,            0.020573,           0.0077428,           0.0077428,           0.0077428
                  59,            0.041727,            0.019862,            0.036969,             0.52101,              0.5003,             0.50369,             0.21943,             0.03019,           0.0095913,            0.020518,           0.0077032,           0.0077032,           0.0077032
                  60,            0.043233,            0.019687,              0.0366,             0.46975,              0.4831,             0.40626,             0.17658,            0.031999,            0.011073,            0.022876,           0.0076636,           0.0076636,           0.0076636
                  61,            0.040562,            0.019685,             0.03629,             0.42468,             0.52453,             0.45301,              0.2354,            0.031812,            0.010436,            0.020471,            0.007624,            0.007624,            0.007624
                  62,            0.040338,             0.01969,            0.033893,             0.48346,             0.53788,             0.46752,             0.24424,            0.028752,            0.010117,            0.018402,           0.0075844,           0.0075844,           0.0075844
                  63,            0.040267,            0.018494,            0.035021,             0.26903,             0.32297,             0.20854,            0.099247,            0.038512,            0.018392,            0.045132,           0.0075448,           0.0075448,           0.0075448
                  64,            0.039447,             0.01999,            0.035311,             0.35665,             0.44686,             0.38637,             0.18509,            0.033947,            0.011564,            0.022736,           0.0075052,           0.0075052,           0.0075052
                  65,            0.041609,            0.020227,            0.035452,             0.35572,             0.49145,              0.3761,             0.17477,            0.031831,            0.013491,            0.025571,           0.0074656,           0.0074656,           0.0074656
                  66,            0.042511,            0.019368,            0.034416,             0.33879,             0.51482,              0.4015,             0.17541,            0.032767,             0.01156,            0.022491,            0.007426,            0.007426,            0.007426
                  67,            0.041049,            0.019447,            0.033863,             0.54213,             0.44925,             0.46923,              0.1945,            0.031646,            0.010614,            0.021504,           0.0073864,           0.0073864,           0.0073864
