                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                0.76067,                  3.287,                 1.4373,                0.00545,                0.99306,                0.25484,                0.17916,                0.60895,                 3.1033,                 1.4473,                 0.0706,              0.0032667,              0.0032667
                      1,                0.46321,                  2.271,                 1.1843,                0.30705,                0.43817,                 0.3627,                0.23675,                 1.1636,                 2.4234,                 1.8623,               0.040535,              0.0065347,              0.0065347
                      2,                0.46786,                 1.8669,                 1.1478,                0.29212,                0.61244,                0.40535,                0.28162,                0.90071,                 2.6567,                 1.5471,               0.010403,              0.0097367,              0.0097367
                      3,                0.50818,                 1.7661,                 1.1731,                0.26732,                0.52755,                 0.3039,                0.25873,                0.84306,                 2.8945,                 1.2513,               0.009703,               0.009703,               0.009703
                      4,                0.45835,                 1.5728,                 1.1228,                0.44752,                0.52327,                0.43416,                0.39443,                0.59942,                 2.7477,                 1.0918,               0.009703,               0.009703,               0.009703
                      5,                0.44652,                 1.4936,                 1.1084,                0.50497,                0.71053,                0.60692,                0.54221,                0.60545,                 1.7398,                  1.034,               0.009604,               0.009604,               0.009604
                      6,                0.43133,                 1.3459,                 1.0988,                0.37853,                0.56325,                0.45895,                0.43149,                0.57758,                 2.3417,                 1.1224,               0.009505,               0.009505,               0.009505
                      7,                0.40057,                 1.2451,                  1.062,                0.63045,                0.63588,                0.69745,                0.65136,                0.46879,                 1.5042,                0.92388,               0.009406,               0.009406,               0.009406
                      8,                0.36243,                 1.1307,                 1.0421,                0.50621,                0.74517,                0.61409,                0.56036,                0.56103,                 1.4136,                0.99066,               0.009307,               0.009307,               0.009307
                      9,                0.38069,                 1.1009,                 1.0521,                0.47811,                0.64714,                0.59479,                0.55937,                0.48113,                 1.6699,                 1.0127,               0.009208,               0.009208,               0.009208
